ReadPos	CntRef	CntNonRef	TotalCnt	Freq	AvQual	AvQualRef	AvQualNonRef
1	975859	16443	992302	0.0165705601722056	0.00137683528285376	0.00134882345096959	0.00303928120196621
2	978819	13483	992302	0.0135875973242017	0.0013674100167507	0.00132632217077889	0.00435024501664703
3	974379	17923	992302	0.0180620415962076	0.00138508252669929	0.00135494174442975	0.00302367792279756
4	979973	12329	992302	0.0124246449165677	0.00134523935130911	0.00131919759859422	0.00341517320900107
5	979808	12494	992302	0.0125909249401896	0.00134031445597849	0.00131034267461878	0.0036907699665338
6	982290	10012	992302	0.0100896702818295	0.0013214822327881	0.00129106105454494	0.00430614255792225
7	980150	12152	992302	0.0122462718003189	0.00131911831249664	0.00129133898225992	0.00355972977813887
8	978683	13619	992302	0.0137246523739749	0.00130172671749416	0.00127016238539522	0.00356998982276915
9	976504	15798	992302	0.0159205564435021	0.00130309239899388	0.0012736642370549	0.00312210226385225
10	980350	11952	992302	0.0120447202565348	0.00129465914923875	0.00126405343865718	0.0038050597824044
11	979414	12888	992302	0.0129879814814442	0.00125278146226208	0.00122557979095408	0.00331995229573414
12	979239	13063	992302	0.0131643390822552	0.00119750292634063	0.00116838225262527	0.00338047004001853
13	977226	15076	992302	0.0151929553704417	0.00117688686802767	0.00115336178576271	0.00270178220091428
14	975453	16849	992302	0.0169797098060873	0.00114692157796431	0.00112612847279785	0.00235071389865909
15	980095	12207	992302	0.0123016984748595	0.00113581346714911	0.00111169872632715	0.00307197607086198
16	982756	9375	992131	0.00944935699015553	0.00111563910693214	0.00109276064051832	0.00351392712149446
17	978552	13396	991948	0.0135047401678314	0.00109773465545037	0.00107695283469636	0.00261580663664024
18	980325	11439	991764	0.0115339939743729	0.00109175598396826	0.00107401560067762	0.00261211101913319
19	977375	14170	991545	0.0142908289588471	0.00108188335453351	0.00106022565977463	0.00257572170407857
20	974867	16461	991328	0.0166049985474031	0.00108341211805553	0.00106585921878627	0.00212294448243274
21	980269	10843	991112	0.0109402368248997	0.00105779436026835	0.00103763030150001	0.0028807401984704
22	978349	12492	990841	0.0126074718345325	0.00104868946500449	0.00102360661249267	0.00301312940028005
23	977957	12544	990501	0.0126642981683007	0.00102755367890152	0.00100842016779521	0.00251924302209047
24	977997	11988	989985	0.0121092743829452	0.00102511126994766	0.00100660228559843	0.00253509885474303
25	975137	14217	989354	0.0143699828372857	0.00100970593311648	0.000992985326214577	0.00215656409253341
26	978805	9838	988643	0.00995101366216116	0.00100102613241213	0.000981562090943282	0.00293754789596723
27	975980	11872	987852	0.0120179945983811	0.0010040208300056	0.000986999127465468	0.00240335044970266
28	971685	15352	987037	0.0155536215967588	0.000996654684378016	0.00098006302765408	0.00204680215465916
29	974926	11235	986161	0.0113926630641447	0.000987542225386528	0.000969889241930974	0.00251939380957249
30	974326	10889	985215	0.0110524098800769	0.000970352841631649	0.000949493393712691	0.00283681463363111
31	972550	11775	984325	0.0119625123815813	0.00091707652540069	0.000900357914598993	0.00229794148804563
32	967479	15841	983320	0.016109709962169	0.000927230575901594	0.000916544102454932	0.00157990014497321
33	969625	12648	982273	0.0128762574151992	0.000935348465863472	0.000918689320747796	0.0022124771488757
34	968920	12242	981162	0.012477042527126	0.000929051103554539	0.000910705552012457	0.00238105010699337
35	963805	16364	980169	0.0166950801341401	0.000928458945415102	0.000912265544456001	0.00188221602261729
36	967282	11748	979030	0.0119996322891025	0.000924492703741181	0.00090711627819865	0.00235519611296633
37	961640	16289	977929	0.0166566284464414	0.00092973044868708	0.000909361536377045	0.00213223280204114
38	964575	12155	976730	0.0124445855046942	0.000886912960789163	0.000866400245702863	0.00251472473818891
39	961950	13555	975505	0.0138953670150332	0.000840974796515859	0.000825716894856011	0.0019237736531482
40	962791	11406	974197	0.0117081042130083	0.000856208832219995	0.00083874830880409	0.00233006774858461
41	960361	12471	972832	0.0128192740370383	0.000883994634421673	0.000857946796625026	0.00288987447999146
42	959776	11697	971473	0.0120404787369284	0.000848457556185662	0.000822613761390623	0.00296902299972375
43	959701	10263	969964	0.0105808050608064	0.00082246326176949	0.000809399532405383	0.00204406261229118
44	953300	14989	968289	0.0154798825557246	0.000790286212027011	0.000780195288054545	0.00143206870738294
45	954683	11817	966500	0.0122265907915158	0.00078660329135267	0.00077384665223379	0.00181719874737828
46	954416	10332	964748	0.0107095324374863	0.000802683036925847	0.000789495224647067	0.00202090400516278
47	947109	15924	963033	0.0165352589163611	0.000799443973964532	0.00079090170380564	0.00130751110206543
48	949826	11521	961347	0.0119842262991407	0.000802605576402897	0.000790221645169238	0.00182357423085876
49	948805	10678	959483	0.0111289100484323	0.000805916847588816	0.000793713479048649	0.0018902600848764
50	946836	10931	957767	0.0114130054595742	0.000793996999278207	0.000784162658242983	0.00164584112409495
51	941572	14410	955982	0.0150735055680965	0.000756801986252267	0.000748392755515584	0.00130627431124438
52	941690	12484	954174	0.013083567567341	0.000747246717854334	0.000735863059038855	0.00160593605379374
53	940594	11535	952129	0.0121149550113483	0.000838486845531454	0.000822794664093859	0.00211806826790534
54	939297	10770	950067	0.0113360426159418	0.000788993978402622	0.000774002472672531	0.00209646624930908
55	937316	10474	947790	0.0110509712067019	0.000759057267169451	0.000748776266112849	0.00167910183336511
56	933659	11692	945351	0.0123678929836643	0.000752663650632272	0.000740080449219053	0.00175748910805781
57	928604	14314	942918	0.0151805353169629	0.000739915765256423	0.000731458281465435	0.00128858512938639
58	929823	10589	940412	0.0112599584012114	0.000739829079042834	0.000721497505170317	0.00234952961853807
59	923287	14500	937787	0.0154619332535	0.00073159105124177	0.000719773465165091	0.00148407543716375
60	924793	10196	934989	0.0109049411276496	0.000722702752970149	0.000712798987466835	0.00162098963125962
61	919163	12631	931794	0.0135555712958014	0.000740935234478431	0.000722653587263343	0.00207129812728685
62	920193	8673	928866	0.00933719180161616	0.000689923302439631	0.000675689741324752	0.00220008395075775
63	915878	9841	925719	0.0106306557389445	0.000682945185546932	0.000675006186706141	0.00142180855108511
64	912704	9735	922439	0.0105535433779361	0.000689623111868716	0.000680245862127566	0.00156878627033782
65	908800	9891	918691	0.0107664056793851	0.000732049487559308	0.000719960150700619	0.0018428359941891
66	902620	12316	914936	0.0134610508275989	0.000737788231167962	0.000725270902385929	0.00165516329654092
67	895464	15681	911145	0.0172102135225458	0.000702603871754359	0.000691468417006979	0.0013384943666073
68	895934	11182	907116	0.0123269791294608	0.000731801914725882	0.000721849026767627	0.00152925592294605
69	885670	17489	903159	0.0193642536917641	0.000760699200686662	0.000748153039245043	0.00139605621388948
70	886530	12479	899009	0.0138808399026039	0.000725450798567891	0.000713246865486543	0.00159243956325645
71	879943	14551	894494	0.0162672974888596	0.000691978345528449	0.000683574213340361	0.00120020164907506
72	878529	11390	889919	0.0127989176543034	0.000701522767952563	0.000691841184288179	0.00144827887111505
73	873577	11310	884887	0.0127812929786515	0.000771085686273039	0.000756155774492856	0.00192426230370248
74	871534	8124	879658	0.00923540739696564	0.000668564638452056	0.000658367212924555	0.00176253350349797
75	864383	9905	874288	0.0113292187471405	0.000678125281008407	0.000667418544495204	0.00161247369367029
76	857035	11345	868380	0.013064556991179	0.000669024396705096	0.00065885004195973	0.00143762537679585
77	853383	9364	862747	0.0108537033452449	0.000756254717316427	0.000741110577398676	0.00213640759593511
78	847172	9887	857059	0.0115359619349426	0.000675424482131227	0.000666137223427062	0.0014712073819866
79	841277	9521	850798	0.0111906704059013	0.000661808755139335	0.000653636079106751	0.00138394764544564
80	835748	9020	844768	0.0106774877836282	0.000675829345091213	0.000665555504174752	0.00162775196129447
81	820803	17761	838564	0.0211802557705792	0.000665792703022734	0.000658773206851973	0.000990190175877742
82	823199	9354	832553	0.0112353207543544	0.000662748674783827	0.000652665649439309	0.00155010556814303
83	815707	10221	825928	0.0123751707170601	0.000681297095728189	0.000671750871370186	0.001443152298969
84	810213	8702	818915	0.0106262554721797	0.000666280620366145	0.000657507473247819	0.00148311788146837
85	800879	10862	811741	0.0133811154050368	0.000724115249982804	0.000715064775085612	0.00139142654487616
86	795050	9707	804757	0.0120620261768459	0.000687658386874393	0.000677980777220625	0.00148030117611481
87	785858	11297	797155	0.0141716479229259	0.00073376129650772	0.000723402179009561	0.00145437697844318
88	780556	8682	789238	0.0110004840111601	0.000663962401572332	0.000655573768226448	0.00141814324582975
89	772060	9279	781339	0.0118757671126105	0.000678159445652723	0.000670408710570595	0.00132306003056958
90	766149	7312	773461	0.00945361175288735	0.000673222915798136	0.000662969780173937	0.0017475431572226
91	752079	13335	765414	0.0174219442027452	0.000677135495163363	0.000668861422370037	0.00114378389353915
92	747877	9029	756906	0.0119288260365224	0.000678069347115398	0.000666591548956085	0.00162878163574478
93	737234	12073	749307	0.016112221025561	0.000680191338050883	0.000671161758748374	0.00123157979722183
94	733253	8097	741350	0.0109219666824037	0.000691497574233915	0.000681129398100127	0.00163042510970093
95	724351	9015	733366	0.0122926342372022	0.000715811835255304	0.000705256007914876	0.00156396758564931
96	716506	9213	725719	0.012694996272662	0.000661770937172179	0.000653305344227411	0.00132015019892721
97	709746	7814	717560	0.0108896816990914	0.000682526132414494	0.000672304633610918	0.00161094536583003
98	699313	9531	708844	0.0134458357551168	0.000685799049891536	0.000674418351209842	0.00152082900868644
99	690927	9345	700272	0.0133448145863322	0.000751698340623604	0.0007412388296697	0.00152502723572772
100	685266	6489	691755	0.00938048875685756	0.000733062205639301	0.000722084968703058	0.00189230511616591
101	673955	9457	683412	0.0138379191468689	0.000737321765517018	0.000729730232894719	0.00127833385904867
102	666218	8765	674983	0.0129855122277154	0.000753831111540948	0.000743833550023528	0.00151373475547435
103	658343	8161	666504	0.0122444876549878	0.000763282358371542	0.000752310373489908	0.00164838583135116
104	650118	7443	657561	0.0113191019540392	0.00071718135325627	0.000706930013337164	0.00161259726156943
105	640435	8807	649242	0.0135650497041165	0.000723575981701258	0.000711485711852697	0.00160276662216226
106	632470	7964	640434	0.0124353173004556	0.000764494035759502	0.000754582456847498	0.00155163320132154
107	622931	8834	631765	0.0139830474939257	0.000763722992631433	0.000752320802194934	0.00156775037443737
108	613960	8786	622746	0.0141084808252482	0.000771572299728995	0.000758195831740889	0.0017063112350878
109	606707	7880	614587	0.0128216184201748	0.000804348465150527	0.000791278230955386	0.00181066858924809
110	598026	7748	605774	0.0127902485085197	0.000772818255850345	0.000761751012967239	0.00162703856980003
111	587990	9622	597612	0.016100747642283	0.000787613249328028	0.000775473843068633	0.00152943921965997
112	582774	7356	590130	0.0124650500737126	0.000783230572846097	0.000770821856754771	0.0017663025020825
113	572500	9286	581786	0.015961195353618	0.00087186256656656	0.000853486560306049	0.0020047791705087
114	569320	4988	574308	0.00868523510032944	0.000876279922195675	0.000862001209215726	0.00250602267957157
115	558042	8890	566932	0.0156808929465968	0.000868292598335142	0.000853729598452664	0.00178243945778106
116	550506	9427	559933	0.0168359428717364	0.000851475702354317	0.000840312552527471	0.00150336717988204
117	545876	6700	552576	0.012125028955293	0.000909157780124689	0.000894848082283464	0.00207502652920446
118	538385	7412	545797	0.0135801406017256	0.00101230895217027	0.000994637308376631	0.00229592308381877
119	532985	6056	539041	0.0112347669286752	0.000921345772729215	0.000907354753729823	0.00215268713029775
120	526272	5533	531805	0.0104041895055518	0.000856481061633739	0.000842599448885638	0.00217683242693577
121	518578	5915	524493	0.0112775575651153	0.00094261339757384	0.00092406059030263	0.00256916921991685
122	510271	8058	518329	0.0155461106748802	0.000862785528371905	0.000852050623007534	0.00154257094599815
123	504673	7642	512315	0.0149166040424348	0.000883752603222688	0.000868937355527497	0.00186214248808535
124	498914	7186	506100	0.0141987749456629	0.000871430740637953	0.000860411954980797	0.00163644972580189
125	493020	6779	499799	0.0135634525079082	0.00107554601265387	0.00104705050437669	0.00314795425733976
126	488650	6120	494770	0.0123693837540675	0.000981923007821763	0.000964478920605278	0.00237474216115515
127	482298	7376	489674	0.0150630827856901	0.00101274907727795	0.000994331434221595	0.00221703221324155
128	478706	5977	484683	0.0123317714877559	0.000941996071412	0.000926651512269391	0.00217096253099996
129	473133	6549	479682	0.013652794976672	0.000994221802428744	0.000976298918645765	0.00228906189602208
130	467709	7552	475261	0.0158902161128306	0.000987889860932504	0.000968691478646442	0.00217688035096029
131	466049	5242	471291	0.0111226397278964	0.00107662567232926	0.00105595040684633	0.00291479560806036
132	460311	6687	466998	0.0143191191396965	0.00102941244440455	0.00100945444682657	0.00240325509778733
133	458247	4444	462691	0.00960468217449659	0.00106271126737806	0.00104380401287976	0.0030123495779382
134	452344	6379	458723	0.0139059955572317	0.00103769339118913	0.00102136610096228	0.00219548485856815
135	448576	6469	455045	0.0142161764221121	0.00110778844750947	0.0010786419974585	0.00312887331041334
136	446265	5144	451409	0.0113954307512699	0.001041047430372	0.00102260348938324	0.00264114177823059
137	441583	6063	447646	0.0135441844671906	0.00112184286266664	0.00109688461976041	0.00293961224701732
138	439331	4950	444281	0.0111415973224153	0.00113974632896246	0.00111790793140606	0.00307798573035659
139	436137	4870	441007	0.011042908615963	0.00113710239677381	0.00111768184685342	0.00287632629424086
140	431840	6093	437933	0.0139130871617348	0.0011187561048792	0.00109520992846442	0.00278758604465042
141	429986	4940	434926	0.011358254047815	0.00128573641864332	0.00124903384946127	0.00448039044946095
142	427133	5032	432165	0.0116437009012761	0.00119440562905647	0.00116688134391178	0.00353075906441561
143	424969	4413	429382	0.010277561704962	0.00120785419213517	0.00118119989833044	0.00377464516967979
144	421065	5472	426537	0.0128288987825206	0.00127050918809914	0.00123135630605242	0.00428328482386576
145	416402	7517	423919	0.0177321610968133	0.00147032659175805	0.00124669359549883	0.0138584105225807
146	416554	5010	421564	0.0118843164976136	0.00131751249238873	0.00128878256967265	0.00370624786704316
147	413881	5119	419000	0.0122171837708831	0.00130716457337097	0.00127776455247784	0.00368421283420824
148	411497	5199	416696	0.0124767216387966	0.00131323875440142	0.00128364898445758	0.00365524713342498
149	408090	6167	414257	0.0148868938847141	0.00155360611799338	0.00151013529491831	0.00443020871061196
150	407170	4809	411979	0.0116729250762782	0.00152752308262263	0.00149171528977493	0.00455930911168968
151	404333	5200	409533	0.012697389465562	0.00156764811734054	0.00153359144790209	0.00421577029504426
152	400769	6388	407157	0.0156892795653765	0.00139323789500424	0.00135206460625857	0.00397635902169235
153	400646	4146	404792	0.0102422972786023	0.00146664766924794	0.00142989275236348	0.00501843503779661
154	397613	4954	402567	0.0123060260776467	0.00143991846462123	0.00140224845493248	0.00446335115787782
155	395271	5011	400282	0.0125186743345941	0.00143936993297711	0.00140629569529685	0.00404828771428143
156	393131	5145	398276	0.0129181773443542	0.00151592803639565	0.00147860663929556	0.00436766723236265
157	390679	5645	396324	0.0142433968167459	0.0016347811489612	0.00157304870549086	0.00590715834692876
158	388828	5602	394430	0.014202773622696	0.00167602829305131	0.00162586532797109	0.00515777862974631
159	385513	7030	392543	0.0179088660350586	0.00160527324641379	0.0015601833429277	0.00407792530368373
